number,carat,cut,color,clarity,depth,table,price,x,y,z,PB 
1181,0.71,Ideal,G,VS1,62.7,57,2930,5.69,5.73,3.58,3
1182,0.71,Ideal,G,VS1,62.6,57,2930,5.67,5.7,3.56,3
1183,0.9,Very Good,E,SI2,58.7,63,2930,6.23,6.2,3.65,3
1184,0.9,Fair,E,SI2,65,58,2930,6.08,6.04,3.94,3
1185,0.71,Ideal,G,VVS1,61.7,57,2930,5.75,5.7,3.53,3
1186,0.7,Very Good,G,VVS2,60.8,57,2931,5.72,5.76,3.49,3
1187,0.72,Very Good,F,VS2,63.3,57,2931,5.69,5.72,3.61,3
1188,0.72,Ideal,F,VS2,61.8,59,2931,5.71,5.74,3.54,3
1189,0.7,Premium,G,VVS1,62,61,2932,5.71,5.62,3.51,3
1190,0.7,Premium,F,VVS2,61,57,2932,5.8,5.71,3.51,3
1191,0.7,Very Good,F,VVS2,63.2,58,2932,5.66,5.6,3.56,3
1192,0.72,Very Good,G,VVS2,62.2,57,2933,5.67,5.72,3.54,3
1193,0.59,Very Good,D,VVS2,60.6,59,2933,5.44,5.49,3.31,3
1194,0.73,Premium,F,VS2,59.9,58,2933,5.84,5.87,3.51,3
1195,0.75,Ideal,F,VS2,62.3,57,2933,5.81,5.87,3.64,3
1196,0.75,Good,D,SI2,57.6,56,2933,5.98,6.07,3.47,3
1197,0.9,Good,H,SI2,62.7,64,2934,6,6.09,3.79,3
1198,0.71,Ideal,D,SI2,62,54,2934,5.77,5.74,3.57,3
1199,0.91,Premium,H,SI1,60.2,52,2935,6.27,6.15,3.74,3
1200,1.17,Fair,I,I1,65.4,62,2935,6.68,6.57,4.33,3
1201,0.8,Premium,H,VS1,62,60,2935,5.92,5.86,3.65,3
1202,0.7,Very Good,G,VVS2,61.8,60,2936,5.63,5.69,3.5,3
1203,0.81,Very Good,H,SI1,60.2,58,2936,6.06,6.1,3.66,3
1204,0.74,Ideal,F,VS2,60.5,59,2936,5.81,5.86,3.53,3
1205,0.7,Ideal,D,SI2,62.6,54,2936,5.69,5.72,3.57,3
1206,0.82,Ideal,E,SI2,62.1,56,2937,6.01,5.98,3.72,3
1207,0.76,Premium,E,SI1,58.3,62,2937,6.12,5.95,3.52,3
1208,0.76,Premium,G,VS1,59.6,57,2937,6.01,5.91,3.55,3
1209,0.95,Premium,G,SI2,58.8,60,2937,6.35,6.31,3.72,3
1210,0.71,Very Good,H,VVS1,62.7,57,2938,5.66,5.72,3.57,3
1211,0.71,Very Good,H,VVS1,62.7,59,2938,5.65,5.67,3.55,3
1212,0.81,Ideal,E,SI2,60.2,57,2938,6.1,6.06,3.66,3
1213,0.73,Very Good,F,VS2,62.7,58,2939,5.73,5.75,3.6,3
1214,0.73,Very Good,G,VS1,60.7,57,2939,5.76,5.83,3.52,3
1215,0.83,Very Good,F,SI2,61.9,56,2939,5.99,6.02,3.72,3
1216,0.77,Premium,D,SI1,59.5,60,2939,6.01,5.95,3.56,3
1217,0.8,Ideal,E,SI2,60.8,56,2939,6.02,6.01,3.66,3
1218,0.73,Ideal,F,VS2,62.7,58,2939,5.72,5.77,3.6,3
1219,0.72,Ideal,E,SI2,62.4,57,2939,5.71,5.74,3.57,3
1220,0.75,Ideal,G,VS2,60.6,55,2939,5.93,5.91,3.59,3
1221,0.8,Premium,E,SI2,59.9,58,2939,6.03,5.96,3.59,3
1222,0.81,Ideal,I,VS2,61.8,56,2939,6.02,5.99,3.71,3
1223,0.82,Premium,H,VS2,62.6,59,2939,5.99,5.93,3.73,3
1224,0.7,Good,F,VVS2,63.1,57,2940,5.59,5.66,3.55,3
1225,1.24,Very Good,J,I1,61.9,55,2940,6.85,6.92,4.26,3
1226,0.7,Very Good,F,VVS2,62.6,59,2940,5.6,5.64,3.52,3
1227,0.7,Ideal,F,VS1,61.2,54,2940,5.92,5.64,3.54,3
1228,0.75,Fair,E,VS2,56,67,2940,6.18,6.08,3.43,3
1229,1,Good,H,I1,57.6,61,2940,6.67,6.6,3.82,3
1230,0.75,Ideal,E,VS2,61.6,57,2940,5.84,5.81,3.59,3
1231,0.7,Ideal,E,VS2,61.5,56,2940,5.73,5.68,3.51,3
1232,0.79,Very Good,E,SI2,59.2,59,2941,6.04,6.06,3.58,3
1233,0.8,Good,F,SI1,63.8,59,2941,5.83,5.87,3.73,3
1234,0.81,Very Good,F,SI2,62.7,58,2942,5.92,5.95,3.72,3
1235,0.71,Premium,F,VS1,61.1,58,2942,5.76,5.72,3.51,3
1236,1.03,Fair,G,SI2,65.7,59,2942,6.3,6.24,4.12,3
1237,0.7,Ideal,F,VS2,60.8,56,2942,5.78,5.79,3.52,3
1238,0.76,Premium,D,SI1,61.6,59,2942,5.84,5.82,3.59,3
1239,1.01,Fair,G,SI2,67.1,59,2942,6.27,6.19,4.18,3
1240,0.73,Ideal,D,SI1,61.4,56,2943,5.82,5.78,3.56,3
1241,0.72,Ideal,F,VS2,62,56,2943,5.77,5.75,3.57,3
1242,0.74,Very Good,H,VVS2,61.3,58,2944,5.8,5.85,3.57,3
1243,0.79,Ideal,G,SI1,61.6,55,2944,5.96,5.98,3.68,3
1244,0.57,Very Good,D,VVS1,60.4,57,2945,5.39,5.44,3.27,3
1245,0.79,Very Good,H,VS2,61.5,55,2945,5.89,5.94,3.64,3
1246,0.78,Very Good,D,SI1,62.4,58,2945,5.86,5.9,3.67,3
1247,0.85,Good,G,SI1,64.9,56,2945,5.95,5.98,3.87,3
1248,0.71,Very Good,E,VS1,63.3,59,2946,5.64,5.67,3.58,3
1249,0.71,Very Good,E,VS1,62.7,57,2946,5.69,5.73,3.58,3
1250,0.72,Ideal,H,VVS1,62.2,56,2946,5.72,5.75,3.57,3
1251,0.72,Ideal,H,VVS1,62.5,57,2946,5.7,5.73,3.57,3
1252,0.77,Ideal,I,SI1,61.5,56,2946,5.9,5.93,3.64,3
1253,0.79,Ideal,E,SI1,62.3,55,2946,5.9,5.94,3.69,3
1254,0.78,Very Good,H,VS1,61.7,56,2947,5.92,5.94,3.66,3
1255,0.76,Ideal,E,VS1,62.1,57,2947,5.82,5.87,3.63,3
1256,0.92,Ideal,H,SI2,58.5,57,2947,6.37,6.34,3.72,3
1257,0.73,Premium,D,VS2,60.9,59,2947,5.82,5.77,3.53,3
1258,0.7,Ideal,H,VVS1,61.2,57,2947,5.69,5.72,3.49,3
1259,0.7,Ideal,H,VVS1,60.5,58,2947,5.76,5.81,3.5,3
1260,0.74,Ideal,I,VS1,62,56,2947,5.79,5.82,3.6,3
1261,0.74,Ideal,I,VS1,61.1,57,2947,5.83,5.86,3.57,3
1262,0.73,Ideal,D,SI1,61.2,57,2947,5.79,5.81,3.55,3
1263,0.82,Good,H,VS2,62.4,54,2947,5.97,6.04,3.75,3
1264,0.9,Premium,I,SI1,60.9,56,2947,6.26,6.21,3.8,3
1265,0.73,Ideal,G,VS1,61.7,55,2948,5.8,5.84,3.59,3
1266,0.7,Ideal,E,SI1,62,56,2948,5.68,5.7,3.53,3
1267,0.9,Premium,I,SI2,62.5,58,2948,6.15,6.1,3.83,3
1268,0.9,Fair,I,SI2,66.4,60,2948,5.92,5.86,3.91,3
1269,0.9,Premium,I,SI2,60.6,60,2948,6.28,6.23,3.79,3
1270,0.9,Ideal,I,SI2,62,56,2948,6.2,6.16,3.83,3
1271,1,Fair,E,SI2,65.8,58,2948,6.28,6.16,4.09,3
1272,0.72,Very Good,E,VS2,63,56,2949,5.66,5.73,3.59,3
1273,0.76,Ideal,E,SI1,61.7,57,2949,5.84,5.89,3.62,3
1274,0.77,Ideal,D,SI1,62.6,57,2949,5.81,5.92,3.67,3
1275,0.72,Ideal,H,VS1,62.3,55,2949,5.72,5.74,3.57,3
1276,0.99,Fair,J,SI1,58,67,2949,6.57,6.5,3.79,3
1277,0.81,Very Good,I,VS1,62.7,58,2950,5.9,5.96,3.72,3
1278,0.71,Ideal,G,VS1,62.4,57,2950,5.68,5.73,3.56,3
1279,0.71,Premium,D,VS2,62.1,60,2950,5.72,5.68,3.54,3
1280,0.54,Ideal,F,VVS1,61.6,55,2951,5.27,5.28,3.25,3
1281,0.72,Very Good,D,VS1,62.7,58,2951,5.65,5.68,3.55,3
1282,0.81,Ideal,H,SI1,62.3,58,2951,5.95,5.96,3.71,3
1283,0.73,Ideal,F,SI1,61.6,55,2951,5.77,5.81,3.56,3
1284,0.72,Ideal,E,SI1,61,56,2951,5.84,5.79,3.55,3
1285,0.7,Very Good,E,VS2,62.4,58,2952,5.66,5.68,3.54,3
1286,0.7,Very Good,E,VS2,63.4,59,2952,5.63,5.67,3.58,3
1287,0.7,Very Good,E,VS2,61.8,59,2952,5.63,5.67,3.49,3
1288,0.7,Very Good,E,VS1,61.3,60,2952,5.68,5.7,3.49,3
1289,0.72,Ideal,G,VS2,61.5,55,2952,5.76,5.79,3.55,3
1290,0.72,Ideal,G,VS2,61.4,55,2952,5.76,5.8,3.55,3
1291,0.7,Ideal,E,VS2,61.9,58,2952,5.7,5.73,3.54,3
1292,0.7,Ideal,E,VS2,62.6,57,2952,5.63,5.68,3.54,3
1293,0.7,Ideal,E,VS2,62.1,55,2952,5.71,5.75,3.56,3
1294,0.74,Ideal,I,IF,62.1,53.9,2952,5.79,5.81,3.6,3
1295,0.7,Good,E,VS1,61,61,2952,5.69,5.72,3.48,3
1296,0.8,Very Good,H,VS2,59.1,59,2953,6.02,6.07,3.57,3
1297,0.79,Premium,F,VS2,63,59,2953,5.84,5.8,3.66,3
1298,0.75,Good,F,VS1,64.4,59,2953,5.67,5.72,3.66,3
1299,0.71,Very Good,E,VS2,59.6,60,2954,5.8,5.85,3.47,3
1300,0.72,Ideal,D,SI1,61.9,55,2954,5.75,5.78,3.57,3
1301,0.72,Premium,E,VS2,61.1,59,2954,5.75,5.8,3.53,3
1302,0.72,Premium,D,SI1,61.4,59,2954,5.71,5.79,3.53,3
1303,0.75,Ideal,D,SI1,62.3,57,2954,5.8,5.83,3.62,3
1304,0.82,Very Good,D,SI1,63.1,58,2954,5.97,5.95,3.76,3
1305,0.76,Ideal,G,VS2,61.7,54,2954,5.88,5.92,3.64,3
1306,0.89,Premium,I,VS1,62.2,62,2955,6.14,6.02,3.78,3
1307,0.7,Very Good,F,VS2,62.4,57,2956,5.67,5.71,3.55,3
1308,0.74,Very Good,H,VS1,61.4,56,2956,5.81,5.84,3.57,3
1309,0.74,Very Good,H,VS1,62.3,56,2956,5.75,5.78,3.59,3
1310,0.95,Good,I,SI2,63.8,57,2956,6.13,6.23,3.94,3
1311,0.91,Very Good,J,SI1,62.8,59,2956,6.14,6.19,3.87,3
1312,0.7,Ideal,F,VS2,60.8,57,2956,5.75,5.77,3.5,3
1313,0.71,Good,F,VVS2,58.2,60,2956,5.89,5.94,3.44,3
1314,0.7,Premium,D,VS1,60.4,58,2956,5.78,5.71,3.47,3
1315,0.72,Ideal,F,VS2,62.6,56,2956,5.75,5.72,3.59,3
1316,0.72,Ideal,F,VS2,62.2,56,2956,5.75,5.73,3.57,3
1317,0.72,Ideal,H,VVS1,62,55,2958,5.74,5.77,3.57,3
1318,0.79,Ideal,I,VS1,62.2,57,2958,5.89,5.94,3.68,3
1319,0.72,Good,G,VS1,58,57.8,2958,5.85,5.87,3.4,3
1320,0.98,Fair,F,SI2,61.6,66,2958,6.46,6.24,3.92,3
1321,0.56,Very Good,D,VVS1,60.1,58,2959,5.36,5.42,3.24,3
1322,0.7,Very Good,F,VS1,60.1,58,2959,5.73,5.79,3.46,3
1323,0.79,Premium,G,VS2,62.3,58,2959,5.92,5.89,3.68,3
1324,0.82,Ideal,I,SI1,61.8,55,2959,6,6.03,3.72,3
1325,0.74,Fair,G,VVS2,65.2,58,2959,5.7,5.6,3.69,3
1326,0.71,Very Good,H,VVS2,61.8,56,2960,5.7,5.73,3.53,3
1327,0.7,Very Good,D,VS2,63,56,2960,5.61,5.69,3.56,3
1328,0.7,Good,D,VS2,63.4,57,2960,5.6,5.67,3.57,3
1329,0.7,Ideal,D,VS2,61.3,57,2960,5.72,5.76,3.52,3
1330,0.76,Ideal,F,VS2,62.6,56,2960,5.82,5.78,3.63,3
1331,0.72,Ideal,G,VS2,61.3,56,2960,5.77,5.81,3.55,3
1332,0.64,Ideal,G,IF,61.7,58,2960,5.52,5.56,3.42,3
1333,0.71,Good,F,VVS2,58.9,61,2960,5.8,5.9,3.44,3
1334,0.74,Ideal,G,VS1,61.8,55,2960,5.85,5.8,3.6,3
1335,0.77,Very Good,H,VS1,62.8,58,2961,5.75,5.78,3.62,3
1336,0.74,Ideal,H,VVS2,61.2,57,2961,5.79,5.85,3.56,3
1337,0.72,Premium,E,VS1,61.5,60,2961,5.79,5.75,3.55,3
1338,0.73,Premium,F,VS1,61.9,56,2961,5.81,5.76,3.58,3
1339,0.73,Premium,F,VS1,62.7,56,2961,5.75,5.73,3.6,3
1340,0.63,Ideal,F,VVS2,62.3,56,2961,5.48,5.5,3.42,3
1341,0.72,Ideal,H,VS1,61.1,57,2961,5.8,5.82,3.55,3
1342,0.76,Ideal,E,SI1,60.6,57,2961,5.91,5.93,3.59,3
1343,0.71,Premium,F,VS1,62.1,53,2961,5.77,5.7,3.56,3
1344,0.75,Premium,H,VS1,61.9,61,2961,5.85,5.82,3.61,3
1345,0.96,Premium,E,SI2,60.4,56,2961,6.32,6.23,3.79,3
1346,0.63,Ideal,D,VVS2,62.6,56,2962,5.47,5.49,3.43,3
1347,0.72,Ideal,E,VS2,62,56,2962,5.73,5.76,3.56,3
1348,0.71,Ideal,G,VS1,62.2,56,2962,5.69,5.72,3.55,3
1349,0.82,Premium,F,SI1,62.4,56,2962,6.01,5.98,3.74,3
1350,0.71,Ideal,E,VS1,62.1,53,2963,5.76,5.73,3.57,3
1351,0.91,Very Good,E,SI2,58.6,63,2963,6.38,6.32,3.72,3
1352,0.71,Very Good,E,VS2,62.9,57,2964,5.68,5.7,3.58,3
1353,0.71,Very Good,E,SI1,62.9,55,2964,5.64,5.68,3.56,3
1354,0.71,Very Good,D,SI1,59.4,59,2964,5.78,5.81,3.44,3
1355,0.7,Good,E,VS1,63.6,58,2964,5.61,5.56,3.55,3
1356,0.7,Fair,E,VS1,64.5,57,2964,5.59,5.55,3.59,3
1357,0.75,Ideal,E,SI1,61.7,56,2964,5.84,5.86,3.61,3
1358,0.9,Fair,F,SI2,65.7,59,2964,6.03,5.99,3.95,3
1359,0.9,Good,F,SI2,64.2,62,2964,6.08,6,3.88,3
1360,0.9,Fair,J,VS1,65.4,60,2964,6.02,5.93,3.91,3
1361,0.9,Premium,J,VS1,62.1,62,2964,6.12,6.05,3.78,3
1362,1,Fair,G,SI1,65.7,54,2964,6.24,6.16,4.07,3
1363,1.5,Fair,H,I1,65.6,54,2964,7.26,7.09,4.7,3
1364,1.05,Premium,E,I1,61.4,58,2964,6.53,6.46,3.99,3
1365,0.9,Fair,J,VS1,64.6,58,2964,6.12,6.06,3.93,3
1366,0.71,Ideal,I,VS1,61.8,56,2965,5.68,5.72,3.52,3
1367,0.71,Ideal,I,VS1,61.6,56,2965,5.71,5.75,3.53,3
1368,0.71,Ideal,I,VS1,61.3,57,2965,5.73,5.76,3.52,3
1369,0.71,Ideal,I,VS1,61.5,56,2965,5.72,5.76,3.52,3
1370,0.7,Ideal,G,SI1,61.7,55,2965,5.7,5.73,3.53,3
1371,0.7,Ideal,G,SI1,60.9,56,2965,5.73,5.79,3.51,3
1372,0.73,Very Good,G,VS2,62.1,59,2966,5.68,5.73,3.54,3
1373,0.85,Very Good,E,SI2,63.1,58,2966,6.02,6,3.79,3
1374,0.7,Ideal,I,VVS1,61.8,56,2966,5.69,5.73,3.53,3
1375,0.75,Ideal,F,SI1,61.2,55,2966,5.87,5.92,3.61,3
1376,0.82,Ideal,F,SI2,60.9,57,2966,6.06,6.02,3.68,3
1377,0.7,Very Good,E,VS1,61.3,56,2967,5.68,5.71,3.49,3
1378,0.7,Very Good,E,VS1,61.5,56,2967,5.69,5.75,3.52,3
1379,0.86,Very Good,G,SI2,62.6,56,2967,6.01,6.07,3.78,3
1380,0.79,Ideal,H,VS2,62,56,2967,5.91,5.93,3.67,3
1381,0.31,Premium,E,SI2,60.8,61,558,4.43,4.39,2.68,1
1382,0.31,Premium,E,SI2,61.2,61,558,4.37,4.36,2.67,1
1383,0.31,Ideal,G,SI2,61.4,55,558,4.39,4.37,2.69,1
1384,0.3,Very Good,H,VVS2,62,56,559,4.28,4.3,2.66,1
1385,0.31,Very Good,G,VS2,62.6,56,559,4.33,4.37,2.72,1
1386,0.31,Very Good,G,VS2,61.4,55,559,4.38,4.41,2.69,1
1387,0.31,Very Good,G,VS2,60.9,57,559,4.37,4.39,2.67,1
1388,0.24,Ideal,G,VVS1,62.4,56,559,3.97,3.99,2.48,1
1389,0.24,Ideal,G,VVS1,62.1,56,559,3.97,4,2.47,1
1390,0.24,Ideal,G,VVS1,62.2,56,559,4,4.04,2.5,1
1391,0.24,Ideal,G,VVS1,62,55,559,4.01,4.03,2.49,1
1392,0.24,Ideal,G,VVS1,62,56,559,3.97,4.01,2.47,1
1393,0.32,Ideal,E,SI1,61.9,55,559,4.4,4.43,2.73,1
1394,0.32,Ideal,E,SI1,61,56,559,4.41,4.45,2.7,1
1395,0.24,Ideal,G,IF,61.7,56,559,3.99,4.01,2.47,1
1396,0.24,Ideal,G,IF,60.8,58,559,4.01,4.05,2.44,1
1397,0.24,Ideal,G,IF,61.8,55,559,3.99,4.02,2.47,1
1398,0.24,Ideal,G,IF,61.6,57,559,3.99,4.02,2.46,1
1399,0.24,Ideal,G,IF,61.3,57,559,4,4.03,2.46,1
1400,0.32,Ideal,G,VS1,62.3,55,559,4.39,4.41,2.74,1
1401,0.32,Ideal,G,VS1,61.8,55,559,4.42,4.45,2.74,1
1402,0.25,Very Good,E,VVS2,62,56,560,4.05,4.08,2.52,1
1403,0.25,Very Good,E,VVS1,61.5,56,560,4.06,4.08,2.5,1
1404,0.25,Very Good,F,IF,61.5,56,560,4.04,4.06,2.48,1
1405,0.27,Very Good,F,IF,60.4,58,560,4.18,4.2,2.53,1
1406,0.32,Ideal,G,VS2,61.6,54,560,4.4,4.43,2.72,1
1407,0.36,Ideal,F,SI1,61.6,56,560,4.57,4.62,2.83,1
1408,0.41,Ideal,I,SI1,61.7,55,561,4.77,4.8,2.95,1
1409,0.32,Premium,H,VS1,60.2,58,561,4.43,4.47,2.68,1
1410,0.32,Ideal,H,VS1,61.5,57,561,4.4,4.42,2.71,1
1411,0.75,Very Good,E,SI1,60.2,60,2968,5.89,5.93,3.56,3
1412,0.92,Premium,H,SI1,59.2,60,2968,6.4,6.35,3.76,3
1413,1.13,Fair,H,I1,64.8,59,2968,6.52,6.42,4.19,3
1414,0.71,Premium,D,VS2,58.7,61,2968,5.88,5.85,3.44,3
1415,1.06,Premium,I,SI2,61.5,57,2968,6.57,6.49,4.02,3
1416,0.9,Ideal,G,SI2,62.4,57,2968,6.16,6.13,3.84,3
1417,0.8,Ideal,G,VS2,61.2,57,2969,6.02,6.07,3.7,3
1418,0.52,Premium,E,VVS2,60.1,58,2970,5.23,5.18,3.13,3
1419,0.72,Very Good,G,VS1,60.6,56,2970,5.84,5.87,3.55,3
1420,0.7,Good,F,VS1,63.8,58,2970,5.58,5.61,3.57,3
1421,0.78,Premium,E,VS2,62.6,57,2970,5.91,5.85,3.68,3
1422,0.78,Ideal,H,VS2,61.6,56,2970,5.94,5.91,3.64,3
1423,1.04,Good,I,SI2,59.9,64,2970,6.51,6.45,3.88,3
1424,0.91,Fair,F,SI1,64.9,57,2971,6.13,6.08,3.96,3
1425,0.81,Very Good,E,SI1,63.8,58,2972,5.85,5.97,3.77,3
1426,0.76,Ideal,G,VS1,59.4,57,2972,5.99,6.03,3.57,3
1427,0.7,Ideal,G,VS1,61.7,56,2972,5.64,5.71,3.5,3
1428,0.9,Very Good,H,SI2,63.1,60,2972,6.14,6.09,3.86,3
1429,0.81,Premium,H,VS1,62.6,58,2972,5.96,5.9,3.71,3
1430,0.9,Very Good,J,SI2,63.3,59,2973,6.08,6.12,3.86,3
1431,0.75,Ideal,G,VS1,62.3,57,2973,5.83,5.86,3.64,3
1432,0.77,Ideal,D,SI2,60.6,56,2973,5.9,5.95,3.59,3
1433,0.7,Ideal,E,VS1,60.5,56,2973,5.74,5.79,3.49,3
1434,0.81,Very Good,E,SI1,59.5,60,2973,6.05,6.09,3.61,3
1435,0.7,Good,E,VS1,59.8,62,2973,5.74,5.8,3.45,3
1436,0.82,Ideal,F,SI1,62.6,57,2974,5.96,6.02,3.75,3
1437,0.57,Ideal,F,IF,61.8,54,2974,5.33,5.35,3.3,3
1438,0.9,Good,H,SI1,64.2,60,2974,6.05,6.02,3.87,3
1439,1,Fair,D,SI2,69.3,58,2974,5.96,5.87,4.1,3
1440,0.71,Ideal,G,VS2,59.5,57,2974,5.81,5.8,3.46,3
1441,0.7,Very Good,F,VS1,62.1,57,2975,5.69,5.72,3.54,3
1442,0.7,Premium,F,VVS2,62.2,58,2975,5.72,5.66,3.54,3
1443,0.82,Very Good,E,SI2,63.3,56,2975,5.99,5.95,3.78,3
1444,0.8,Ideal,F,SI1,62.8,54,2975,5.9,5.97,3.74,3
1445,0.83,Premium,G,SI1,61.6,59,2975,6.02,5.99,3.7,3
1446,0.83,Ideal,H,VS2,61.3,54,2975,6.1,6.06,3.73,3
1447,0.77,Premium,E,SI1,60.4,58,2975,6,5.88,3.59,3
1448,0.79,Ideal,F,SI1,62.5,57,2976,5.88,5.92,3.69,3
1449,0.72,Ideal,E,SI1,61,56,2976,5.82,5.85,3.56,3
1450,0.91,Ideal,I,SI2,63,54,2976,6.17,6.12,3.86,3
1451,0.71,Very Good,G,VVS2,60.8,58,2977,5.75,5.77,3.5,3
1452,0.81,Ideal,F,SI1,61.9,57,2977,5.98,6.01,3.71,3
1453,0.76,Premium,D,VS2,60.9,58,2977,5.9,5.85,3.58,3
1454,0.54,Ideal,F,VVS1,61.6,55,2977,5.28,5.27,3.25,3
1455,0.71,Ideal,G,VVS2,62.5,58,2978,5.7,5.73,3.57,3
1456,0.7,Ideal,E,VS1,61.3,54,2978,5.77,5.83,3.54,3
1457,0.8,Ideal,E,SI2,61,55,2978,6,6.03,3.67,3
1458,0.76,Ideal,E,SI2,62.1,56,2978,5.85,5.88,3.64,3
1459,0.72,Ideal,H,VVS1,59.9,59,2979,5.76,5.82,3.47,3
1460,0.7,Ideal,E,VS2,61.7,56,2979,5.74,5.71,3.53,3
1461,0.86,Premium,F,SI2,61.8,58,2980,6.12,6.15,3.79,3
1462,0.7,Ideal,E,VS2,61.5,57,2980,5.67,5.78,3.52,3
1463,0.7,Good,D,SI1,61.3,61,2980,5.63,5.69,3.47,3
1464,0.64,Good,F,IF,58.6,61,2980,5.69,5.71,3.34,3
1465,0.7,Ideal,E,VS2,62.2,55,2981,5.67,5.71,3.54,3
1466,0.91,Premium,I,SI2,60.2,59,2981,6.29,6.24,3.77,3
1467,0.91,Ideal,I,SI2,61.6,57,2981,6.24,6.23,3.84,3
1468,0.9,Good,E,SI2,58.7,63,2982,6.2,6.23,3.65,3
1469,0.71,Ideal,G,VVS1,61.7,57,2982,5.7,5.75,3.53,3
1470,0.9,Fair,E,SI2,65.8,59,2982,6.03,5.98,3.95,3
1471,0.71,Ideal,E,VS2,59.5,57,2982,5.86,5.83,3.48,3
1472,0.71,Very Good,G,VS1,60.8,63,2982,5.76,5.68,3.48,3
1473,0.71,Premium,E,VS2,62.6,58,2982,5.72,5.68,3.57,3
1474,0.74,Ideal,E,VS2,62.7,54,2984,5.8,5.77,3.63,3
1475,0.9,Very Good,J,VS2,63.1,57,2984,6.12,6.06,3.84,3
1476,1,Premium,G,I1,62.5,62,2984,6.42,6.35,3.99,3
1477,0.7,Very Good,D,VS2,63.1,56,2985,5.62,5.69,3.57,3
1478,0.75,Ideal,E,SI1,62.2,57,2985,5.82,5.86,3.63,3
1479,0.82,Premium,H,VS1,62.3,60,2985,5.97,5.94,3.71,3
1480,0.77,Very Good,G,VS1,62.8,58,2986,5.78,5.84,3.65,3
1481,0.8,Ideal,I,VS1,61.9,54.1,2986,5.92,5.98,3.69,3
1482,0.82,Ideal,I,VS1,61.6,57,2986,6,6.05,3.71,3
1483,0.84,Ideal,G,SI2,62,56,2986,6.02,6.05,3.74,3
1484,0.7,Ideal,G,VS1,61.3,59,2987,5.68,5.7,3.49,3
1485,0.74,Ideal,D,SI1,61.5,56,2987,5.8,5.84,3.58,3
1486,0.77,Premium,E,SI1,61.7,58,2988,5.86,5.9,3.63,3
1487,0.6,Very Good,F,IF,60.1,54,2988,5.5,5.58,3.33,3
1488,1.03,Very Good,G,I1,63.2,58,2988,6.44,6.34,4.04,3
1489,0.76,Ideal,I,IF,61.6,55,2988,5.92,5.89,3.64,3
1490,0.72,Ideal,F,VS2,62.1,54,2989,5.76,5.8,3.59,3
1491,0.83,Premium,D,SI1,61.3,58,2990,6.03,6,3.69,3
1492,0.76,Very Good,G,VS2,62.1,54,2990,5.88,5.94,3.67,3
1493,0.72,Very Good,E,VS2,62.9,57,2990,5.68,5.73,3.59,3
1494,0.57,Good,E,VVS1,59.1,65,2990,5.34,5.43,3.18,3
1495,0.75,Ideal,G,VS2,60.6,55,2991,5.91,5.93,3.59,3
1496,0.7,Ideal,D,VS2,60.3,60,2991,5.71,5.76,3.46,3
1497,0.7,Very Good,E,VS2,62.8,56,2992,5.66,5.68,3.56,3
1498,0.75,Ideal,H,VVS2,62,55.1,2992,5.83,5.85,3.62,3
1499,1.06,Fair,J,SI2,61,66,2992,6.54,6.35,3.93,3
1500,0.69,Very Good,F,VVS2,61.5,60,2993,5.64,5.67,3.48,3
1501,0.87,Very Good,H,SI2,61,56,2993,6.15,6.19,3.77,3
1502,0.75,Very Good,E,SI1,63.6,56,2993,5.73,5.75,3.65,3
1503,0.7,Ideal,G,VVS2,63,55,2993,5.65,5.69,3.57,3
1504,0.7,Ideal,F,VS1,62.4,55,2993,5.65,5.7,3.54,3
1505,0.75,Ideal,E,SI1,61.1,57,2993,5.83,5.86,3.57,3
1506,0.72,Ideal,D,SI1,61.1,59,2993,5.76,5.8,3.53,3
1507,1.01,Fair,G,SI1,65.1,57,2993,6.27,6.22,4.07,3
1508,0.71,Very Good,F,VS2,59.6,56,2994,5.84,5.88,3.49,3
1509,0.71,Very Good,G,VS1,59.3,55,2994,5.88,5.95,3.51,3
1510,0.81,Very Good,G,VS2,63.1,58,2994,5.88,5.84,3.7,3
1511,1.24,Premium,J,I1,61.9,55,2994,6.92,6.85,4.26,3
1512,0.81,Premium,G,VS2,62,58,2994,5.95,5.92,3.68,3
1513,0.81,Premium,D,SI2,61.7,58,2994,5.97,5.93,3.67,3
1514,0.73,Ideal,D,SI1,61.4,56,2995,5.78,5.82,3.56,3
1515,0.7,Ideal,G,VS1,60.9,56,2995,5.76,5.8,3.52,3
1516,0.91,Fair,F,SI2,65.3,51,2996,6.05,5.98,3.93,3
1517,0.88,Very Good,I,VS1,63.3,55,2996,6.11,6.06,3.85,3
1518,0.77,Ideal,D,SI1,61.4,56,2996,5.9,5.93,3.63,3
1519,0.74,Ideal,I,VS2,61.9,55,2997,5.8,5.83,3.6,3
1520,0.72,Ideal,H,SI1,61.1,56,2997,5.78,5.8,3.54,3
1521,0.7,Ideal,D,VS2,62.8,57,2998,5.69,5.75,3.59,3
1522,0.72,Ideal,H,VS1,61.4,56,2998,5.79,5.81,3.56,3
1523,0.7,Ideal,F,VS1,61.6,57,2998,5.7,5.73,3.52,3
1524,1.01,Fair,J,VVS2,66,56,2998,6.29,6.22,4.13,3
1525,0.85,Fair,G,VS1,57.7,67,2998,6.26,6.19,3.59,3
1526,0.7,Very Good,D,VS2,59.7,59,2999,5.82,5.78,3.46,3
